Name,District,Type,Description
SHARYLAND ISD,108911,D,OTHER CENTRAL CITY SUBURBAN
SHEKINAH RADIANCE ACADEMY,015819,I,CHARTER SCHOOL DISTRICTS
SHELBYVILLE ISD,210903,H,RURAL
SHELDON ISD,101924,B,MAJOR SUBURBAN
SHEPHERD ISD,204904,E,INDEPENDENT TOWN
SHERMAN ISD,091906,C,OTHER CENTRAL CITY
SHINER ISD,143903,H,RURAL
SIDNEY ISD,047905,H,RURAL
SIERRA BLANCA ISD,115902,H,RURAL
SILSBEE ISD,100904,E,INDEPENDENT TOWN
SILVERTON ISD,023902,H,RURAL
SIMMS ISD,019909,H,RURAL
SINTON ISD,205906,E,INDEPENDENT TOWN
SIVELLS BEND ISD,049909,H,RURAL
SKIDMORE-TYNAN ISD,013905,H,RURAL
SLATON ISD,152903,G,NON-METROPOLITAN STABLE
SLIDELL ISD,249908,H,RURAL
SLOCUM ISD,001909,H,RURAL
SMITHVILLE ISD,011904,G,NON-METROPOLITAN STABLE
SMYER ISD,110906,H,RURAL
SNOOK ISD,026903,H,RURAL
SNYDER ISD,208902,G,NON-METROPOLITAN STABLE
SOCORRO ISD,071909,A,MAJOR URBAN
SOMERSET ISD,015909,G,NON-METROPOLITAN STABLE
SOMERVILLE ISD,026902,H,RURAL
SONORA ISD,218901,G,NON-METROPOLITAN STABLE
SOUTH PLAINS ACADEMY CHARTER DISTR,152803,I,CHARTER SCHOOL DISTRICTS
SOUTH SAN ANTONIO ISD,015908,B,MAJOR SUBURBAN
SOUTH TEXAS EDUCATIONAL TECHNOLOGI,108802,I,CHARTER SCHOOL DISTRICTS
SOUTH TEXAS ISD,031916,G,NON-METROPOLITAN STABLE
SOUTHLAND ISD,085903,H,RURAL
SOUTHSIDE ISD,015917,B,MAJOR SUBURBAN
SOUTHWEST ISD,015912,B,MAJOR SUBURBAN
SOUTHWEST PREPARATORY SCHOOL,015807,I,CHARTER SCHOOL DISTRICTS
SOUTHWEST SCHOOL,101838,I,CHARTER SCHOOL DISTRICTS
SPEARMAN ISD,098904,G,NON-METROPOLITAN STABLE
SPLENDORA ISD,170907,D,OTHER CENTRAL CITY SUBURBAN
SPRING BRANCH ISD,101920,B,MAJOR SUBURBAN
SPRING CREEK ISD,117907,H,RURAL
SPRING HILL ISD,092907,D,OTHER CENTRAL CITY SUBURBAN
SPRING ISD,101919,B,MAJOR SUBURBAN
SPRINGLAKE-EARTH ISD,140907,H,RURAL
