Name,District,Type,Description
HARMONY SCIENCE ACAD (WACO),161807,I,CHARTER SCHOOL DISTRICTS
HARMONY SCIENCE ACADEMY,101846,I,CHARTER SCHOOL DISTRICTS
HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,CHARTER SCHOOL DISTRICTS
HARPER ISD,086902,H,RURAL
HARROLD ISD,244901,H,RURAL
HART ISD,035902,H,RURAL
HARTLEY ISD,103902,H,RURAL
HARTS BLUFF ISD,225907,F,NON-METROPOLITAN FAST GROWING
HASKELL CISD,104901,H,RURAL
HAWKINS ISD,250902,H,RURAL
HAWLEY ISD,127904,H,RURAL
HAYS CISD,105906,B,MAJOR SUBURBAN
HEARNE ISD,198905,D,OTHER CENTRAL CITY SUBURBAN
HEDLEY ISD,065902,H,RURAL
HEMPHILL ISD,202903,G,NON-METROPOLITAN STABLE
HEMPSTEAD ISD,237902,G,NON-METROPOLITAN STABLE
HENDERSON ISD,201902,E,INDEPENDENT TOWN
HENRIETTA ISD,039902,D,OTHER CENTRAL CITY SUBURBAN
HENRY FORD ACADEMY ALAMEDA SCHOOL,015833,I,CHARTER SCHOOL DISTRICTS
HEREFORD ISD,059901,D,OTHER CENTRAL CITY SUBURBAN
HERMLEIGH ISD,208901,H,RURAL
HICO ISD,097903,H,RURAL
HIDALGO ISD,108905,D,OTHER CENTRAL CITY SUBURBAN
HIGGINS ISD,148903,H,RURAL
HIGGS CARTER KING GIFTED & TALENTE,015803,I,CHARTER SCHOOL DISTRICTS
HIGH ISLAND ISD,084903,H,RURAL
HIGHLAND ISD,177905,H,RURAL
HIGHLAND PARK ISD,057911,B,MAJOR SUBURBAN
HIGHLAND PARK ISD,188903,G,NON-METROPOLITAN STABLE
HILLSBORO ISD,109904,E,INDEPENDENT TOWN
HITCHCOCK ISD,084908,D,OTHER CENTRAL CITY SUBURBAN
HOLLAND ISD,014905,F,NON-METROPOLITAN FAST GROWING
HOLLIDAY ISD,005902,D,OTHER CENTRAL CITY SUBURBAN
HONDO ISD,163904,E,INDEPENDENT TOWN
HONEY GROVE ISD,074907,H,RURAL
HOOKS ISD,019902,H,RURAL
HOUSTON GATEWAY ACADEMY INC,101828,I,CHARTER SCHOOL DISTRICTS
HOUSTON HEIGHTS HIGH SCHOOL,101821,I,CHARTER SCHOOL DISTRICTS
HOUSTON HEIGHTS LEARNING ACADEMY I,101829,I,CHARTER SCHOOL DISTRICTS
HOUSTON ISD,101912,A,MAJOR URBAN
HOWE ISD,091905,D,OTHER CENTRAL CITY SUBURBAN
HUBBARD ISD,019913,H,RURAL
HUBBARD ISD,109905,H,RURAL
HUCKABAY ISD,072908,H,RURAL
HUDSON ISD,003902,G,NON-METROPOLITAN STABLE
HUFFMAN ISD,101925,G,NON-METROPOLITAN STABLE
HUGHES SPRINGS ISD,034903,E,INDEPENDENT TOWN
HULL-DAISETTA ISD,146905,H,RURAL
HUMBLE ISD,101913,B,MAJOR SUBURBAN
HUNT ISD,133902,H,RURAL
HUNTINGTON ISD,003904,G,NON-METROPOLITAN STABLE
HUNTSVILLE ISD,236902,E,INDEPENDENT TOWN
HURST-EULESS-BEDFORD ISD,220916,B,MAJOR SUBURBAN
HUTTO ISD,246906,D,OTHER CENTRAL CITY SUBURBAN
IDALOU ISD,152910,D,OTHER CENTRAL CITY SUBURBAN
IDEA PUBLIC SCHOOLS,108807,I,CHARTER SCHOOL DISTRICTS
IGNITE PUBLIC SCHOOLS AND COMMUNIT,108801,I,CHARTER SCHOOL DISTRICTS
IMAGINE INTERNATIONAL ACADEMY OF N,043801,I,CHARTER SCHOOL DISTRICTS
INDUSTRIAL ISD,120905,G,NON-METROPOLITAN STABLE
INGLESIDE ISD,205903,D,OTHER CENTRAL CITY SUBURBAN
INGRAM ISD,133904,G,NON-METROPOLITAN STABLE
INSPIRED VISION ACADEMY,057830,I,CHARTER SCHOOL DISTRICTS
INTERNATIONAL LEADERSHIP OF TEXAS,057848,I,CHARTER SCHOOL DISTRICTS
IOLA ISD,093903,H,RURAL
IOWA PARK CISD,243903,D,OTHER CENTRAL CITY SUBURBAN
IRA ISD,208903,H,RURAL
IRAAN-SHEFFIELD ISD,186903,H,RURAL
IREDELL ISD,018906,H,RURAL
IRION COUNTY ISD,118902,H,RURAL
IRVING ISD,057912,B,MAJOR SUBURBAN
ITALY ISD,070907,H,RURAL
ITASCA ISD,109907,H,RURAL
JACKSBORO ISD,119902,G,NON-METROPOLITAN STABLE
JACKSONVILLE ISD,037904,E,INDEPENDENT TOWN
JARRELL ISD,246907,F,NON-METROPOLITAN FAST GROWING
JASPER ISD,121904,E,INDEPENDENT TOWN
JAYTON-GIRARD ISD,132902,H,RURAL
JEAN MASSIEU ACADEMY,057819,I,CHARTER SCHOOL DISTRICTS
JEFFERSON ISD,155901,G,NON-METROPOLITAN STABLE
JIM HOGG COUNTY ISD,124901,G,NON-METROPOLITAN STABLE
JIM NED CISD,221911,G,NON-METROPOLITAN STABLE
JOAQUIN ISD,210902,H,RURAL
JOHN H WOOD JR PUBLIC CHARTER DIST,015808,I,CHARTER SCHOOL DISTRICTS
JOHNSON CITY ISD,016901,H,RURAL
JONESBORO ISD,050909,H,RURAL
JOSHUA ISD,126905,D,OTHER CENTRAL CITY SUBURBAN
JOURDANTON ISD,007902,F,NON-METROPOLITAN FAST GROWING
JUBILEE ACADEMIC CENTER,015822,I,CHARTER SCHOOL DISTRICTS
JUDSON ISD,015916,B,MAJOR SUBURBAN
JUNCTION ISD,134901,H,RURAL
KARNACK ISD,102901,H,RURAL
KARNES CITY ISD,128901,G,NON-METROPOLITAN STABLE
KATHERINE ANNE PORTER SCHOOL,105801,I,CHARTER SCHOOL DISTRICTS
KATY ISD,101914,B,MAJOR SUBURBAN
KAUFMAN ISD,129903,D,OTHER CENTRAL CITY SUBURBAN
KEENE ISD,126906,G,NON-METROPOLITAN STABLE
KELLER ISD,220907,B,MAJOR SUBURBAN
KELTON ISD,242905,H,RURAL
KEMP ISD,129904,D,OTHER CENTRAL CITY SUBURBAN
KENEDY COUNTY WIDE CSD,131001,H,RURAL
KENEDY ISD,128902,H,RURAL
KENNARD ISD,113906,H,RURAL
KENNEDALE ISD,220914,B,MAJOR SUBURBAN
KERENS ISD,175907,H,RURAL
KERMIT ISD,248901,D,OTHER CENTRAL CITY SUBURBAN
KERRVILLE ISD,133903,E,INDEPENDENT TOWN
KILGORE ISD,092902,D,OTHER CENTRAL CITY SUBURBAN
KILLEEN ISD,014906,C,OTHER CENTRAL CITY
KINGSVILLE ISD,137901,E,INDEPENDENT TOWN
KIPP AUSTIN PUBLIC SCHOOLS INC,227820,I,CHARTER SCHOOL DISTRICTS
KIPP DALLAS-FORT WORTH,057837,I,CHARTER SCHOOL DISTRICTS
KIPP INC CHARTER,101813,I,CHARTER SCHOOL DISTRICTS
KIPP SAN ANTONIO,015826,I,CHARTER SCHOOL DISTRICTS
KIRBYVILLE CISD,121905,G,NON-METROPOLITAN STABLE
KLEIN ISD,101915,B,MAJOR SUBURBAN
KLONDIKE ISD,058905,H,RURAL
KNIPPA ISD,232901,F,NON-METROPOLITAN FAST GROWING
KNOX CITY-O'BRIEN CISD,138902,H,RURAL
KOPPERL ISD,018907,H,RURAL
KOUNTZE ISD,100903,G,NON-METROPOLITAN STABLE
KRESS ISD,219905,H,RURAL
KRUM ISD,061905,D,OTHER CENTRAL CITY SUBURBAN
LA ACADEMIA DE ESTRELLAS,057839,I,CHARTER SCHOOL DISTRICTS
LA AMISTAD LOVE & LEARNING ACADEMY,101833,I,CHARTER SCHOOL DISTRICTS
LA FE PREPARATORY SCHOOL,071807,I,CHARTER SCHOOL DISTRICTS
LA FERIA ISD,031905,G,NON-METROPOLITAN STABLE
LA GLORIA ISD,125906,H,RURAL
LA GRANGE ISD,075902,E,INDEPENDENT TOWN
LA JOYA ISD,108912,C,OTHER CENTRAL CITY
LA MARQUE ISD,084904,D,OTHER CENTRAL CITY SUBURBAN
LA PORTE ISD,101916,B,MAJOR SUBURBAN
LA PRYOR ISD,254902,H,RURAL
LA VEGA ISD,161906,D,OTHER CENTRAL CITY SUBURBAN
LA VERNIA ISD,247903,E,INDEPENDENT TOWN
LA VILLA ISD,108914,H,RURAL
LACKLAND ISD,015913,G,NON-METROPOLITAN STABLE
LAGO VISTA ISD,227912,G,NON-METROPOLITAN STABLE
LAKE DALLAS ISD,061912,D,OTHER CENTRAL CITY SUBURBAN
LAKE TRAVIS ISD,227913,B,MAJOR SUBURBAN
LAKE WORTH ISD,220910,B,MAJOR SUBURBAN
LAMAR CISD,079901,C,OTHER CENTRAL CITY
LAMESA ISD,058906,G,NON-METROPOLITAN STABLE
LAMPASAS ISD,141901,D,OTHER CENTRAL CITY SUBURBAN
LANCASTER ISD,057913,B,MAJOR SUBURBAN
LANEVILLE ISD,201903,H,RURAL
LAPOYNOR ISD,107910,H,RURAL
LAREDO ISD,240901,D,OTHER CENTRAL CITY SUBURBAN
LASARA ISD,245901,H,RURAL
LATEXO ISD,113905,H,RURAL
LAZBUDDIE ISD,185904,H,RURAL
LEADERSHIP PREP SCHOOL,061804,I,CHARTER SCHOOL DISTRICTS
LEAKEY ISD,193902,H,RURAL
LEANDER ISD,246913,B,MAJOR SUBURBAN
LEARY ISD,019914,H,RURAL
LEFORS ISD,090902,H,RURAL
LEGACY PREPARATORY,057846,I,CHARTER SCHOOL DISTRICTS
LEGGETT ISD,187906,H,RURAL
LEON ISD,145911,H,RURAL
LEONARD ISD,074909,G,NON-METROPOLITAN STABLE
LEVELLAND ISD,110902,G,NON-METROPOLITAN STABLE
LEVERETTS CHAPEL ISD,201904,H,RURAL
LEWISVILLE ISD,061902,B,MAJOR SUBURBAN
LEXINGTON ISD,144902,G,NON-METROPOLITAN STABLE
LIBERTY HILL ISD,246908,D,OTHER CENTRAL CITY SUBURBAN
LIBERTY ISD,146906,G,NON-METROPOLITAN STABLE
LIBERTY-EYLAU ISD,019908,G,NON-METROPOLITAN STABLE
LIFE SCHOOL,057807,I,CHARTER SCHOOL DISTRICTS
LIGHTHOUSE CHARTER SCHOOL,015825,I,CHARTER SCHOOL DISTRICTS
LINDALE ISD,212903,D,OTHER CENTRAL CITY SUBURBAN
LINDEN-KILDARE CISD,034905,H,RURAL
LINDSAY ISD,049907,H,RURAL
LINGLEVILLE ISD,072909,H,RURAL
LIPAN ISD,111902,H,RURAL
LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,INDEPENDENT TOWN
LITTLE ELM ISD,061914,D,OTHER CENTRAL CITY SUBURBAN
LITTLEFIELD ISD,140904,G,NON-METROPOLITAN STABLE
LIVINGSTON ISD,187907,E,INDEPENDENT TOWN
LLANO ISD,150901,G,NON-METROPOLITAN STABLE
LOCKHART ISD,028902,D,OTHER CENTRAL CITY SUBURBAN
LOCKNEY ISD,077902,H,RURAL
LOHN ISD,160905,H,RURAL
LOMETA ISD,141902,H,RURAL
LONDON ISD,178906,F,NON-METROPOLITAN FAST GROWING
LONE OAK ISD,116906,G,NON-METROPOLITAN STABLE
LONGVIEW ISD,092903,C,OTHER CENTRAL CITY
LOOP ISD,083902,H,RURAL
LORAINE ISD,168902,H,RURAL
LORENA ISD,161907,G,NON-METROPOLITAN STABLE
LORENZO ISD,054902,H,RURAL
LOS FRESNOS CISD,031906,D,OTHER CENTRAL CITY SUBURBAN
LOUISE ISD,241906,H,RURAL
LOVEJOY ISD,043919,G,NON-METROPOLITAN STABLE
LOVELADY ISD,113903,H,RURAL
LUBBOCK ISD,152901,C,OTHER CENTRAL CITY
LUBBOCK-COOPER ISD,152906,D,OTHER CENTRAL CITY SUBURBAN
LUEDERS-AVOCA ISD,127905,H,RURAL
LUFKIN ISD,003903,E,INDEPENDENT TOWN
LULING ISD,028903,E,INDEPENDENT TOWN
LUMBERTON ISD,100907,D,OTHER CENTRAL CITY SUBURBAN
LUMIN EDUCATION,057805,I,CHARTER SCHOOL DISTRICTS
LYFORD CISD,245902,G,NON-METROPOLITAN STABLE
LYTLE ISD,007904,G,NON-METROPOLITAN STABLE
MABANK ISD,129905,D,OTHER CENTRAL CITY SUBURBAN
MADISONVILLE CISD,154901,G,NON-METROPOLITAN STABLE
MAGNOLIA ISD,170906,D,OTHER CENTRAL CITY SUBURBAN
MAINLAND PREPARATORY ACADEMY,084801,I,CHARTER SCHOOL DISTRICTS
MALAKOFF ISD,107906,G,NON-METROPOLITAN STABLE
MALONE ISD,109908,H,RURAL
MALTA ISD,019910,H,RURAL
MANARA ACADEMY,057844,I,CHARTER SCHOOL DISTRICTS
MANOR ISD,227907,B,MAJOR SUBURBAN
MANSFIELD ISD,220908,B,MAJOR SUBURBAN
MARATHON ISD,022902,H,RURAL
MARBLE FALLS ISD,027904,E,INDEPENDENT TOWN
MARFA ISD,189901,H,RURAL
MARION ISD,094904,D,OTHER CENTRAL CITY SUBURBAN
MARLIN ISD,073903,G,NON-METROPOLITAN STABLE
MARSHALL ISD,102902,E,INDEPENDENT TOWN
MART ISD,161908,H,RURAL
MARTINS MILL ISD,234905,H,RURAL
MARTINSVILLE ISD,174909,H,RURAL
MASON ISD,157901,H,RURAL
MATAGORDA ISD,158904,H,RURAL
MATHIS ISD,205904,G,NON-METROPOLITAN STABLE
MAUD ISD,019903,H,RURAL
MAY ISD,025905,H,RURAL
MAYPEARL ISD,070915,D,OTHER CENTRAL CITY SUBURBAN
MCALLEN ISD,108906,C,OTHER CENTRAL CITY
MCCAMEY ISD,231901,H,RURAL
MCDADE ISD,011905,H,RURAL
MCGREGOR ISD,161909,G,NON-METROPOLITAN STABLE
MCKINNEY ISD,043907,D,OTHER CENTRAL CITY SUBURBAN
MCLEAN ISD,090903,H,RURAL
MCLEOD ISD,034906,H,RURAL
MCMULLEN COUNTY ISD,162904,H,RURAL
MEADOW ISD,223902,F,NON-METROPOLITAN FAST GROWING
MEADOWLAND CHARTER SCHOOL,130801,I,CHARTER SCHOOL DISTRICTS
MEDICAL CENTER CHARTER SCHOOL,101801,I,CHARTER SCHOOL DISTRICTS
MEDINA ISD,010901,H,RURAL
MEDINA VALLEY ISD,163908,B,MAJOR SUBURBAN
MELISSA ISD,043908,F,NON-METROPOLITAN FAST GROWING
MEMPHIS ISD,096904,H,RURAL
MENARD ISD,164901,H,RURAL
MERCEDES ISD,108907,D,OTHER CENTRAL CITY SUBURBAN
MERIDIAN ISD,018902,H,RURAL
MERIDIAN WORLD SCHOOL LLC,246801,I,CHARTER SCHOOL DISTRICTS
MERKEL ISD,221904,D,OTHER CENTRAL CITY SUBURBAN
MESQUITE ISD,057914,B,MAJOR SUBURBAN
