County,District,Name,Code,Institution,Students
AUSTIN ,BRAZOS ISD ,BRAZOS H S ,008903001,Other Pub/Ind 2-yr Institution (3) ,4
AUSTIN ,BRAZOS ISD ,BRAZOS H S ,008903001,Not trackable ,1
AUSTIN ,BRAZOS ISD ,BRAZOS H S ,008903001,Not found ,36
AUSTIN ,BRAZOS ISD ,BRAZOS H S ,008903001,Total high school graduates ,60
,,,,,
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,BLINN COLLEGE (003549) ,30
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,TEXAS A&M UNIVERSITY (003632) ,7
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,SAM HOUSTON STATE UNIVERSITY (003606) ,5
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,U. OF TEXAS AT AUSTIN (003658) ,5
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,Other Pub/Ind 4-yr Institution (9) ,14
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,Other Pub/Ind 2-yr Institution (4) ,7
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,Not trackable ,12
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,Not found ,100
AUSTIN ,SEALY ISD ,SEALY H S ,008902001,Total high school graduates ,180
,,,,,
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,SOUTH PLAINS COLLEGE (003611) ,13
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,WEST TEXAS A&M UNIVERSITY (003665) ,7
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,Other Pub/Ind 4-yr Institution (7) ,11
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,Other Pub/Ind 2-yr Institution (5) ,7
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,Not trackable ,10
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,Not found ,42
BAILEY ,MULESHOE ISD ,MULESHOE H S ,009901001,Total high school graduates ,90
,,,,,
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,ALAMO CCD NW VISTA COLLEGE (000307) ,17
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,U. OF TEXAS AT SAN ANTONIO (010115) ,8
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,SCHREINER UNIVERSITY (003610) ,7
BANDERA ,BANDERA ISD ,BANDERA H S ,010902001,ANGELO STATE UNIVERSITY (003541) ,6
