YEAR,CAMPUS ID,HIGH SCHOOL STUDENTS,NOT FOUND,NOT TRACKABLE
2015,57909004.0,501,193,37
2015,,0,0,0
2015,57909008.0,525,209,24
2015,,0,0,0
2015,57909009.0,611,236,20
2015,,0,0,0
2015,57909003.0,419,210,56
2015,,0,0,0
2015,57909010.0,633,247,37
2015,,0,0,0
2015,57831002.0,37,24,0
2015,,0,0,0
2015,57910009.0,175,142,17
2015,,0,0,0
2015,57910002.0,509,249,40
2015,,0,0,0
2015,57910010.0,339,97,36
2015,,0,0,0
2015,57910003.0,695,295,21
2015,,0,0,0
2015,57843001.0,59,14,0
2015,,0,0,0
2015,57911001.0,534,307,6
2015,,0,0,0
2015,57912002.0,565,235,109
2015,,0,0,0
2015,57912006.0,387,160,41
2015,,0,0,0
2015,57912003.0,630,256,77
2015,,0,0,0
2015,57912004.0,552,244,81
2015,,0,0,0
2015,57913001.0,364,159,4
2015,,0,0,0
2015,57807001.0,65,13,6
2015,,0,0,0
2015,57807101.0,87,26,1
2015,,0,0,0
2015,57914005.0,487,196,16
2015,,0,0,0
2015,57914656.0,181,141,12
2015,,0,0,0
2015,57914001.0,575,285,44
2015,,0,0,0
2015,57914002.0,530,258,32
2015,,0,0,0
2015,57914004.0,349,141,9
2015,,0,0,0
2015,57914003.0,444,219,37
2015,,0,0,0
2015,57803002.0,112,24,4
2015,,0,0,0
2015,57838006.0,107,32,2
2015,,0,0,0
2015,57802001.0,49,17,1
2015,,0,0,0
2015,57916005.0,555,206,42
2015,,0,0,0
2015,57916002.0,494,199,31
2015,,0,0,0
2015,57916004.0,495,202,40
2015,,0,0,0
2015,57916003.0,562,188,46
2015,,0,0,0
2015,57840001.0,245,36,7
2015,,0,0,0
2015,57919001.0,110,32,1
2015,,0,0,0
2015,57842001.0,84,29,10
2015,,0,0,0
2015,57828001.0,55,38,8
2015,,0,0,0
2015,57828002.0,48,33,6
2015,,0,0,0
2015,57828003.0,83,50,10
2015,,0,0,0
2015,57828004.0,59,43,7
2015,,0,0,0
2015,57828005.0,62,48,2
2015,,0,0,0
2015,58906001.0,90,36,2
2015,,0,0,0
2015,62901001.0,131,63,0
2015,,0,0,0
2015,62903001.0,118,56,4
2015,,0,0,0
2015,62904001.0,26,14,1
2015,,0,0,0
2015,59901001.0,231,135,11
2015,,0,0,0
2015,60902001.0,70,28,0
2015,,0,0,0
2015,61910001.0,176,59,3
2015,,0,0,0
2015,61907001.0,111,55,2
2015,,0,0,0
2015,61901003.0,448,188,40
2015,,0,0,0
2015,61901039.0,43,30,3
2015,,0,0,0
2015,61901007.0,523,192,54
2015,,0,0,0
2015,61901002.0,533,223,60
