YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,SAT PARTICIPATION RATE,SAT MATH,SAT ERW
2015,25906001,Zephyr School,25906,15.4,560.0,475.0
2015,25908001,Brookesmith School,25908,20.0,440.0,465.0
2015,25909001,Early H S,25909,64.7,535.0,528.0
2015,26901001,Caldwell H S,26901,50.9,500.0,483.0
2015,26902001,Somerville H S,26902,33.3,418.0,431.0
2015,26903002,Snook Secondary,26903,33.3,546.0,511.0
2015,27903001,Burnet H S,27903,66.5,463.0,455.0
2015,27903003,Quest,27903,10.3,403.0,488.0
2015,27904001,Marble Falls H S,27904,50.2,501.0,493.0
2015,27904002,Falls Career H S,27904,9.1,473.0,437.0
2015,28902001,Lockhart H S,28902,78.4,435.0,425.0
2015,28903001,Luling H S,28903,44.7,454.0,444.0
2015,28906001,Prairie Lea School,28906,100.0,460.0,457.0
2015,29901001,Calhoun H S,29901,42.7,507.0,488.0
2015,30901001,Cross Plains H S,30901,5.9,,
2015,30902001,Clyde H S,30902,30.4,478.0,467.0
2015,30906001,Eula H S,30906,11.8,445.0,500.0
2015,31504001,Mathematics And Science Academy,31504,,564.0,537.0
2015,31901001,Hanna H S,31901,72.1,441.0,424.0
2015,31901002,Porter H S,31901,39.9,415.0,399.0
2015,31901003,Pace H S,31901,66.3,412.0,397.0
2015,31901004,Rivera H S,31901,58.4,420.0,406.0
2015,31901007,Lopez H S,31901,75.5,414.0,392.0
2015,31901008,Brownsville Early College H S,31901,100.0,497.0,474.0
2015,31901009,Veterans Memorial H S,31901,77.7,443.0,440.0
2015,31903001,Harlingen H S,31903,49.9,447.0,438.0
2015,31903002,Harlingen H S - South,31903,58.9,465.0,455.0
2015,31903005,Early College H S,31903,94.2,492.0,514.0
2015,31905001,La Feria H S,31905,19.8,462.0,464.0
2015,31906001,Los Fresnos H S,31906,65.0,463.0,432.0
2015,31909001,Port Isabel H S,31909,66.7,455.0,426.0
2015,31911001,Rio Hondo H S,31911,51.1,437.0,408.0
2015,31912001,San Benito H S,31912,58.3,436.0,420.0
2015,31913001,Santa Maria H S,31913,62.8,388.0,344.0
2015,31916001,South Texas Business Education & T,31916,60.8,483.0,474.0
2015,31916003,South Texas Academy For Medical Pr,31916,99.1,485.0,478.0
2015,31916004,South Texas H S For Health Profess,31916,87.6,525.0,509.0
2015,31916005,The Science Academy Of South Texas,31916,84.5,616.0,566.0
2015,32902002,Pittsburg H S,32902,26.0,459.0,452.0
2015,33904001,White Deer H S,33904,4.8,,
2015,34901001,Atlanta H S,34901,3.0,485.0,510.0
2015,34902001,Avinger School,34902,5.9,,
2015,34903001,Hughes Springs H S,34903,3.1,540.0,595.0
2015,34905002,Linden-Kildare H S,34905,1.9,,
2015,34907001,Queen City H S,34907,13.0,547.0,520.0
2015,35901001,Dimmitt H S,35901,3.7,560.0,623.0
2015,36901001,Anahuac H S,36901,43.8,465.0,429.0
2015,36902001,Barbers Hill H S,36902,53.0,529.0,509.0
2015,36903001,East Chambers H S,36903,43.2,447.0,463.0
2015,37901001,Alto H S,37901,35.2,460.0,441.0
2015,37904002,Jacksonville H S,37904,3.8,513.0,533.0
2015,37907002,Rusk H S,37907,19.5,514.0,517.0
2015,37908001,New Summerfield School,37908,11.1,520.0,547.0
2015,37909001,Wells H S,37909,68.0,422.0,425.0
2015,38901001,Childress H S,38901,1.3,,
2015,39902001,Henrietta H S,39902,41.4,504.0,500.0
2015,39903001,Petrolia Junior High/High School,39903,7.5,467.0,477.0
2015,39904001,Bellevue School,39904,46.7,480.0,486.0
2015,40901001,Morton School,40901,4.3,,
2015,40902001,Whiteface H S,40902,50.0,493.0,467.0
2015,41902001,Robert Lee H S,41902,8.3,,
2015,42901001,Coleman H S,42901,4.8,520.0,537.0
2015,42903001,Santa Anna Secondary,42903,26.7,390.0,443.0
2015,42905001,Panther Creek School,42905,10.0,,
2015,43901001,Allen H S,43901,67.9,567.0,546.0
2015,43902001,Anna H S,43902,45.8,496.0,495.0
2015,43903001,Celina H S,43903,9.9,543.0,545.0
2015,43904001,Farmersville H S,43904,30.6,474.0,459.0
2015,43905001,Frisco H S,43905,66.5,551.0,529.0
2015,43905002,Centennial H S,43905,63.5,576.0,547.0
2015,43905005,Wakeland H S,43905,72.6,547.0,534.0
2015,43905006,Liberty H S,43905,74.7,573.0,548.0
2015,43905007,Heritage H S,43905,64.4,532.0,518.0
2015,43905008,Lone Star H S,43905,66.9,510.0,505.0
2015,43905009,Independence H S,43905,,,
2015,43907002,McKinney H S,43907,58.0,539.0,521.0
2015,43907004,McKinney North H S,43907,64.7,526.0,514.0
2015,43907005,Serenity High,43907,50.0,,
2015,43907007,McKinney Boyd H S,43907,67.4,550.0,538.0
2015,43908001,Melissa H S,43908,33.6,537.0,530.0
2015,43910001,Plano Sr H S,43910,63.8,582.0,549.0
2015,43910003,Williams H S,43910,,,
2015,43910004,Vines H S,43910,,609.0,590.0
2015,43910005,Clark H S,43910,,621.0,571.0
2015,43910006,Plano East Sr H S,43910,63.0,579.0,545.0
2015,43910007,Shepton H S,43910,,660.0,658.0
2015,43910009,Jasper H S,43910,,673.0,660.0
2015,43910010,Plano West Senior H S,43910,75.2,617.0,575.0
2015,43910011,C A McMillen H S,43910,,560.0,490.0
2015,43911001,Princeton H S,43911,34.4,473.0,471.0
2015,43912001,Prosper H S,43912,56.8,548.0,517.0
2015,43914001,Wylie H S,43914,61.7,513.0,499.0
2015,43914003,Wylie East H S,43914,50.7,502.0,487.0
2015,43914004,Achieve Academy,43914,2.7,300.0,360.0
2015,43917001,Blue Ridge H S,43917,24.5,528.0,538.0
2015,43918001,Community H S,43918,42.7,468.0,455.0
2015,43919001,Lovejoy H S,43919,84.5,584.0,552.0
2015,43919103,Lovejoy Daep,43919,,530.0,470.0
2015,44902001,Wellington H S,44902,5.1,480.0,435.0
2015,45902001,Columbus H S,45902,53.2,476.0,454.0
2015,45903001,Rice H S,45903,14.3,498.0,467.0
2015,45905002,Weimar H S,45905,53.8,489.0,470.0
2015,46802001,Trinity Charter School,46802,66.7,395.0,385.0
2015,46901001,New Braunfels H S,46901,68.3,513.0,510.0
2015,46902001,Canyon H S,46902,61.5,510.0,489.0
2015,46902002,Smithson Valley H S,46902,73.6,515.0,513.0
2015,46902003,Canyon Lake H S,46902,66.7,486.0,484.0
2015,46902007,Memorial Early College H S With St,46902,100.0,522.0,519.0
2015,47901001,Comanche H S,47901,39.4,467.0,482.0
2015,47902001,De Leon H S,47902,17.1,490.0,480.0
2015,47903001,Gustine School,47903,35.7,464.0,408.0
2015,47905001,Sidney School,47905,11.1,,
2015,48903001,Paint Rock School,48903,10.5,480.0,595.0
2015,49901001,Gainesville H S,49901,36.8,488.0,455.0
2015,49902001,Muenster H S,49902,60.0,552.0,525.0
2015,49903001,Valley View H S,49903,63.3,486.0,490.0
2015,49905001,Callisburg H S,49905,44.8,475.0,471.0
2015,49906001,Era School,49906,12.2,508.0,506.0
2015,49907001,Lindsay H S,49907,47.5,539.0,493.0
2015,50902001,Gatesville H S,50902,19.9,515.0,525.0
2015,50904001,Oglesby School,50904,58.3,489.0,490.0
2015,50909001,Jonesboro School,50909,23.1,510.0,487.0
2015,50910001,Copperas Cove H S,50910,57.5,482.0,475.0
2015,50910005,Crossroads H S,50910,6.0,430.0,433.0
2015,52901001,Crane High School,52901,3.5,505.0,415.0
2015,53001001,Ozona H S,53001,26.2,407.0,458.0
2015,54903001,Ralls H S,54903,28.1,478.0,440.0
2015,56901001,Dalhart H S,56901,5.6,512.0,502.0
2015,57802001,Pegasus Charter H S,57802,89.8,404.0,412.0
2015,57803002,Uplift Education-North Hills Prep,57803,92.9,613.0,585.0
2015,57804001,Dallas Can Academy Charter,57804,0.5,,
